yellow 	   colour ,  color   | 0.0 | .1 | 2
uncover 	   unveil ,  reveal ,  show ,  expose ,  undo ,  disclose ,  unfold ,  bare ,  unclothe   | 0.0 | .1 | 4
dive 	   plunge ,  plunk ,  descend ,  fall ,  swim ,  parachute ,  jump ,  duck   | 0.0 | .1 | 5
clip 	   cut ,  trot ,  run ,  attach ,  crop ,  trim ,  dress ,  curtail ,  shorten ,  poll ,  pinch ,  top   | 0.0 | .1 | 9
alarm 	   dismay ,  frighten ,  fright ,  scare ,  alert ,  warn ,  shock ,  wake   | 0.0 | .1 | 6
site 	   locate ,  place ,  station ,  post ,  base ,  send   | 0.0 | .1 | 7
refresh 	   review ,  remember ,  retrieve ,  recall ,  think ,  renew ,  change ,  alter ,  modify ,  air   | 0.0 | .1 | 10
affect 	   impact ,  touch ,  change ,  alter ,  modify ,  involve ,  regard ,  refer ,  pertain ,  relate ,  concern ,  pretend ,  dissemble ,  belie ,  impress ,  move ,  strike ,  peril ,  mouth ,  work ,  relax ,  fake ,  trouble ,  energize ,  expose ,  hit ,  surprise ,  influence ,  process ,  stimulate ,  bother ,  distort ,  implicate ,  attack ,  excite ,  colour ,  subject ,  strain ,  jar ,  register ,  endanger ,  infect ,  cloud ,  upset ,  treat ,  pierce ,  calm ,  soak ,  tense ,  awaken ,  arouse ,  stir ,  bull ,  unwind ,  brace ,  color ,  disturb ,  inconvenience ,  smite ,  tranquillise   | 0.0 | .1 | 21
job 	   cheat^ ,  hire ,  engage ,  employ ,  work ,  speculate ,  invest ,  put ,  commit ,  place ,  bull   | 0.0 | .1 | 10
screen 	   test ,  check ,  analyze ,  analyse ,  study ,  examine ,  canvas ,  sieve ,  sort ,  choose ,  take ,  select ,  show ,  obstruct ,  impede ,  jam ,  block ,  riddle ,  sift ,  strain ,  shield ,  protect ,  shade   | 0.0 | .1 | 23
scrutinise 	   examine ,  see ,  audit ,  inspect ,  analyze ,  analyse ,  study ,  canvas   | 0.0 | .1 | 9
jet 	   run ,  flow ,  feed ,  course ,  fly ,  pilot   | 0.0 | .1 | 6
spark 	   trip ,  trigger ,  activate ,  initiate ,  pioneer ,  emit   | 0.0 | .1 | 6
suppress 	   subdue ,  conquer ,  curb ,  control ,  hold ,  contain ,  check ,  moderate ,  crush ,  restrain ,  keep ,  prevent ,  forget ,  bury ,  choke^ ,  reduce ,  blink ,  silence ,  quieten ,  still ,  quell ,  stifle ,  confine ,  strangle ,  swallow ,  muffle   | 0.0 | .1 | 18
concentrate 	   turn ,  focus ,  center ,  centre ,  rivet ,  think ,  change ,  alter ,  modify ,  digest ,  shorten ,  cut ,  contract ,  reduce ,  converge ,  decrease^ ,  diminish ,  lessen ,  fall ,  plunge ,  listen ,  absorb ,  engross ,  engulf ,  recall ,  steep ,  hear ,  telescope ,  capsule   | 0.0 | .1 | 27
butterfly 	   fleet ,  dart ,  unfold ,  spread ,  open ,  romance ,  mash ,  talk ,  speak   | 0.0 | .1 | 9
resolve 	   decide ,  settle ,  end ,  terminate ,  conclude ,  agree ,  hold ,  purpose ,  determine ,  answer ,  solve ,  work ,  recognize ,  calculate ,  compute ,  reckon ,  figure ,  dissolve ,  melt ,  adjust ,  run ,  cut ,  judge   | 0.0 | .1 | 20
pare 	   decrease^ ,  lessen ,  cut ,  skin ,  peel ,  strip ,  trim ,  dress   | 0.0 | .1 | 8
flounder 	   stagger ,  walk ,  fight ,  struggle   | 0.0 | .1 | 4
groom 	   prepare ,  train ,  educate ,  dress ,  curry ,  shave ,  qualify ,  dispose ,  do ,  perfume ,  scent ,  clean ,  arrange ,  set ,  manicure ,  pedicure   | 0.0 | .1 | 5
stigmatise 	   brand ,  denounce ,  mark ,  label   | 0.0 | .1 | 5
consider 	   see ,  reckon ,  view ,  regard ,  think ,  believe ,  conceive ,  study ,  ponder ,  contemplate ,  muse ,  reflect ,  mull ,  speculate ,  take ,  deal ,  count ,  weigh ,  debate ,  deliberate ,  discuss ,  evaluate ,  judge ,  look ,  analyze ,  analyse ,  examine ,  canvas ,  hold ,  feel ,  appreciate* ,  deem ,  play ,  value ,  equate ,  favour ,  receive ,  make ,  prise ,  identify ,  compare ,  abstract ,  liken ,  respect ,  favor ,  expect ,  like ,  include ,  call ,  prize ,  esteem ,  capitalize ,  rethink ,  wrestle ,  treasure   | 0.0 | .1 | 38
care 	   pity ,  assist ,  aid ,  wish ,  like ,  desire ,  want ,  manage ,  deal ,  handle ,  control ,  command ,  worry ,  mind ,  look ,  organize ,  touch ,  work ,  misconduct ,  nurse ,  process ,  administer ,  fuss ,  juggle ,  see ,  conduct ,  please ,  mother ,  mishandle ,  organise ,  direct ,  coordinate ,  attend   | 0.0 | .1 | 14
combine 	   compound ,  add ,  unite ,  have ,  feature ,  mix ,  mingle ,  unify ,  contribute* ,  give ,  interact ,  aggregate ,  blend ,  flux ,  merge ,  absorb ,  gauge ,  melt ,  incorporate ,  integrate   | 0.0 | .1 | 20
stretch 	   be ,  extend ,  tense ,  strain ,  unfold ,  grow ,  lengthen ,  lie ,  pull ,  draw ,  force ,  widen ,  broaden ,  dilute ,  corrupt ,  spoil ,  increase ,  move ,  tree ,  yield ,  crane ,  give ,  doctor ,  sophisticate   | 0.0 | .1 | 21
rage 	   ramp ,  storm ,  act ,  behave ,  do ,  be ,  rage   | 0.0 | .1 | 7
enable 	   change ,  alter ,  modify ,  invest ,  equip ,  gift ,  endow   | 0.0 | .1 | 3
form 	   constitute ,  make ,  represent ,  comprise ,  be ,  organize ,  organise ,  create ,  spring ,  become ,  shape ,  change ,  alter ,  modify ,  work ,  forge ,  influence ,  grind ,  strike ,  tie ,  machine ,  culminate* ,  circle ,  stamp ,  roll ,  model ,  square ,  turn ,  twist ,  carve ,  mound ,  head ,  fit ,  cup ,  block ,  blow ,  draw ,  distort ,  bundle ,  regroup ,  layer ,  add ,  hill ,  dish ,  beat ,  strain ,  throw ,  reorganise ,  upset ,  round ,  fork ,  syndicate ,  chip ,  dimension ,  grain ,  bunch ,  cast ,  reorganize ,  sculpt ,  sculpture   | 0.0 | .1 | 22
curb 	   control ,  hold ,  contain ,  check ,  moderate ,  restrain ,  suppress ,  keep ,  subdue ,  conquer ,  constrain ,  restrict ,  curtail ,  limit ,  confine ,  train ,  blink ,  silence ,  quieten ,  deny ,  still ,  catch ,  quell ,  counteract ,  stifle ,  bound ,  strangle ,  muffle   | 0.0 | .1 | 22
flurry 	   move ,  confuse ,  embarrass ,  bother ,  deflect ,  distract   | 0.0 | .1 | 3
observe 	   detect ,  find ,  discover ,  notice ,  sight ,  note ,  mention ,  remark ,  state ,  say ,  tell ,  watch ,  respect ,  honour ,  accept ,  celebrate ,  keep ,  follow ,  check ,  maintain ,  scout ,  monitor ,  guard ,  track ,  sense ,  supervise ,  bird ,  tolerate ,  comment ,  mark ,  see ,  commemorate ,  trace   | 0.0 | .1 | 24
poll 	   canvas ,  survey ,  vote ,  get ,  acquire ,  clip ,  crop ,  trim ,  dress   | 0.0 | .1 | 9
cure 	   help ,  aid ,  preserve* ,  keep ,  harden ,  change   | 0.0 | .1 | 6
energize 	   stimulate ,  arouse ,  brace ,  affect ,  excite ,  change ,  alter ,  modify ,  renovate ,  repair ,  quicken ,  revive ,  animate   | 0.0 | .1 | 8
spotlight 	   highlight ,  light ,  illuminate   | 0.0 | .1 | 3
twist 	   wrestle ,  worm ,  move ,  flex ,  bend ,  turn ,  distort ,  shape ,  form ,  wind ,  curve ,  be ,  dance ,  wrench ,  pull ,  convolute ,  sophisticate ,  refer ,  rick ,  injure ,  wound ,  snake ,  spin ,  dent ,  tangle ,  spiral ,  wave ,  crank   | 0.0 | .1 | 24
revile 	   rail ,  abuse ,  shout   | 0.0 | .1 | 3
spook 	   frighten ,  fright ,  scare   | 0.0 | .1 | 3
debilitate 	   enfeeble ,  drain ,  weaken ,  waste   | 0.0 | .1 | 3
root 	   grow ,  become ,  plant ,  set ,  rout ,  dig ,  side ,  pull ,  back ,  endorse ,  support ,  settle ,  stabilize ,  stabilise   | 0.0 | .1 | 15
spiral 	   turn ,  wind ,  twist ,  curve   | 0.0 | .1 | 5
respite 	   postpone ,  table ,  shelve ,  defer   | 0.0 | .1 | 4
motion 	   gesture ,  communicate ,  extend ,  bow ,  sign ,  beckon ,  wave ,  shrug ,  shake ,  bless ,  spat ,  nod ,  acclaim   | 0.0 | .1 | 2
down 	   pop ,  drink ,  consume ,  eat ,  overcome ,  defeat ,  polish ,  refine ,  better ,  improve* ,  school ,  educate ,  train ,  cultivate ,  land ,  civilize ,  kill   | 0.0 | .1 | 10
barb 	   change ,  alter ,  modify   | 0.0 | .1 | 6
edge 	   inch ,  advance ,  progress* ,  border ,  supply ,  provide ,  furnish ,  march ,  touch ,  meet ,  contact ,  sharpen ,  neighbour ,  neighbor   | 0.0 | .1 | 13
revert 	   return ,  turn ,  reverse ,  recover ,  lapse   | 0.0 | .1 | 3
cheer 	   encourage* ,  rejoice* ,  inspire ,  urge ,  barrack ,  exhort ,  amuse ,  triumph ,  lighten   | 0.0 | .1 | 7
bulletproof 	   proof   | 0.0 | .1 | 1
reheat 	   heat   | 0.0 | .1 | 1
wire 	   equip ,  fit ,  outfit ,  cable ,  telegraph ,  fix ,  secure ,  string ,  thread ,  draw ,  electrify ,  adapt* ,  accommodate   | 0.0 | .1 | 13
tighten 	   change ,  alter ,  modify ,  constrain ,  restrict ,  restrain ,  limit ,  bound ,  confine ,  reduce ,  contract ,  compact ,  wind ,  firm ,  press ,  strain ,  tense ,  squeeze ,  narrow ,  screw   | 0.0 | .1 | 16
caption 	   supply ,  provide ,  furnish   | 0.0 | .1 | 3
track 	   introduce ,  observe ,  chase ,  trail ,  tail ,  tag ,  dog ,  pursue ,  follow ,  cover ,  cross ,  pass ,  make ,  create ,  tree ,  course ,  take ,  walk ,  hunt ,  drive ,  quest ,  stride ,  ford ,  trace ,  bridge   | 0.0 | .1 | 14
wane 	   decline ,  decrease^ ,  diminish ,  lessen ,  fall ,  dip ,  drop   | 0.0 | .1 | 13
customize 	   customise ,  produce ,  make ,  create ,  construct ,  build ,  change ,  alter ,  modify   | 0.0 | .1 | 11
cost 	   be ,  necessitate ,  ask ,  need ,  require ,  take ,  involve ,  demand   | 0.0 | .1 | 9
engulf 	   steep ,  plunge ,  engross ,  absorb ,  concentrate ,  focus ,  center ,  centre ,  rivet ,  envelop ,  wrap ,  drink   | 0.0 | .1 | 11
summer 	   spend ,  pass   | 0.0 | .1 | 2
spray 	   scatter ,  sprinkle ,  dot ,  dust ,  disperse ,  cover ,  shower ,  mist   | 0.0 | .1 | 11
scar 	   mark   | 0.0 | .1 | 1
be 	   exist ,  equal ,  constitute ,  represent ,  comprise ,  follow ,  take ,  occupy ,  live ,  stay ,  remain ,  rest ,  cost ,  be ,  hang ,  look ,  consist ,  buzz ,  hurt^ ,  hold ,  want ,  threaten^ ,  grace* ,  wash ,  need ,  range ,  peril ,  feel ,  object ,  come ,  touch ,  extend ,  work ,  compact ,  boil ,  enter ,  pose ,  prove ,  account ,  adorn ,  fall ,  total ,  deserve ,  match ,  owe ,  suit ,  translate ,  wind ,  deck ,  go ,  stretch ,  rage ,  form ,  twist ,  equate ,  buy ,  agree ,  menace ,  abound ,  pay ,  pass ,  prevail ,  accept ,  decorate ,  imperil ,  loaf ,  number ,  head ,  sell ,  cover ,  lounge ,  contain ,  press ,  fit ,  suffer ,  continue ,  tally ,  define ,  seem ,  flow ,  make ,  stand ,  weigh ,  count ,  face ,  yawn ,  end ,  figure ,  sit ,  draw ,  check ,  hum ,  merit ,  terminate ,  recognize ,  compare ,  point ,  obtain ,  mingle ,  befuddle ,  rate ,  run ,  depend ,  encounter ,  supplement ,  belong ,  require ,  lurk ,  beat ,  balance ,  promise ,  test ,  act ,  present ,  appear ,  lend ,  gape ,  tend ,  amount ,  pack ,  begin ,  lean ,  throw ,  start ,  seethe ,  answer ,  clean ,  rank ,  cut ,  endanger ,  underlie ,  linger ,  shine ,  transplant ,  measure ,  litter ,  connect ,  reach ,  jeopardise ,  inhabit ,  stagnate ,  matter ,  breathe ,  impend ,  lie ,  stick ,  curve ,  fill ,  exemplify ,  confuse ,  kill ,  hail ,  distribute ,  specify ,  diverge ,  swing ,  trim ,  correspond ,  lead ,  confound ,  attend ,  gibe ,  squat ,  adhere ,  incline ,  disagree   | 0.0 | .1 | 15
exaggerate 	   overstate ,  amplify ,  mislead ,  make ,  do ,  gas ,  pad ,  tout ,  blow ,  boast ,  aggrandise ,  brag   | 0.0 | .1 | 5
rest 	   be ,  breathe ,  pause ,  break ,  lie ,  stay ,  remain ,  put ,  set ,  place ,  pose ,  position ,  lay ,  perch ,  sit ,  pillow ,  rest ,  keep ,  stand ,  blow ,  slumber ,  sleep   | 0.0 | .1 | 25
recycle 	   cycle ,  use ,  utilize ,  utilise ,  apply ,  employ ,  reclaim ,  recover   | 0.0 | .1 | 6
sum 	   summarize ,  state ,  say ,  tell ,  total ,  add ,  tally ,  count ,  number ,  enumerate   | 0.0 | .1 | 10
instrument 	   equip ,  fit ,  outfit ,  write ,  address ,  direct   | 0.0 | .1 | 6
contest 	   contend ,  oppose ,  challenge ,  dispute   | 0.0 | .1 | 2
overthrow 	   overturn ,  depose ,  override ,  reverse ,  rule ,  decree ,  revolutionize*   | 0.0 | .1 | 7
sky 	   toss ,  pitch ,  fling ,  lag   | 0.0 | .1 | 3
starve 	   suffer ,  hurt^ ,  die ,  go ,  exit ,  expire^ ,  pass ,  conk ,  choke^ ,  deprive ,  crave ,  lust ,  desire ,  want   | 0.0 | .1 | 15
crust 	    | 0.0 | .1 | 0
traffic 	   trade ,  merchandise   | 0.0 | .1 | 4
vacuum 	   hoover ,  clean   | 0.0 | .1 | 2
boycott 	    | 0.0 | .1 | 0
redistribute 	   spread ,  distribute   | 0.0 | .1 | 2
correlate 	   match ,  fit ,  correspond ,  check ,  gibe ,  tally ,  agree ,  associate ,  relate ,  link ,  connect   | 0.0 | .1 | 11
clothe 	   dress ,  apparel ,  turn ,  invest ,  adorn ,  equip ,  fit ,  outfit ,  shirt ,  coat ,  cover ,  shoe ,  prim ,  robe ,  jacket ,  habit ,  vest   | 0.0 | .1 | 8
pole 	   propel ,  hold ,  support ,  sustain* ,  reduce   | 0.0 | .1 | 5
shutter 	   close^ ,  shut   | 0.0 | .1 | 2
inter 	   bury ,  lay   | 0.0 | .1 | 2
group 	   classify ,  class ,  sort ,  assort ,  separate ,  gather ,  assemble ,  team ,  gang ,  regroup ,  brigade ,  embed ,  pool ,  chunk ,  lump ,  batch   | 0.0 | .1 | 7
equate 	   compare ,  liken ,  study ,  consider ,  correspond ,  equal ,  be ,  match ,  change ,  alter ,  modify ,  tie ,  draw   | 0.0 | .1 | 12
cushion 	   buffer ,  soften ,  modify   | 0.0 | .1 | 3
divine 	   perceive ,  search ,  seek   | 0.0 | .1 | 3
think 	   believe ,  consider ,  conceive ,  evaluate ,  judge ,  suppose ,  imagine ,  reckon ,  guess ,  expect ,  anticipate ,  remember ,  retrieve ,  recall ,  envisage ,  concentrate ,  focus ,  center ,  centre ,  rivet ,  intend ,  mean ,  will ,  wish ,  change ,  alter ,  modify ,  design ,  hold ,  feel ,  plan ,  know ,  contemplate ,  study ,  link ,  refresh ,  reason ,  pay ,  speculate ,  view ,  relate ,  propose ,  purpose ,  conclude ,  recognize ,  devote ,  rationalize ,  review ,  suspect ,  aim ,  reflect ,  connect ,  muse ,  ponder ,  give ,  see ,  regard ,  mull ,  associate ,  purport ,  esteem ,  rethink   | 0.0 | .1 | 31
tote 	   lug ,  transport ,  carry   | 0.0 | .1 | 3
strew 	   spread ,  distribute ,  cover ,  litter   | 0.0 | .1 | 3
rivet 	   concentrate ,  focus ,  center ,  centre ,  think ,  fix ,  secure ,  absorb ,  engross ,  engage ,  occupy ,  plunge ,  listen ,  engulf ,  recall ,  steep ,  hear   | 0.0 | .1 | 11
sear 	   scorch ,  heat ,  singe ,  burn ,  dry ,  swinge   | 0.0 | .1 | 8
beckon 	   wave ,  gesture ,  motion ,  attract ,  appeal ,  summon   | 0.0 | .1 | 6
exit 	   leave ,  move ,  play ,  die ,  go ,  expire^ ,  pass ,  conk ,  choke^ ,  turn ,  depart ,  fall ,  starve ,  suffocate ,  yield ,  eject ,  drown ,  stifle ,  succumb   | 0.0 | .1 | 10
refer 	   mention ,  cite ,  name ,  mean ,  pertain ,  relate ,  concern ,  touch ,  classify ,  class ,  sort ,  assort ,  separate ,  send ,  direct ,  consult ,  research ,  intend ,  hold ,  appeal ,  raise ,  affect ,  twist ,  return ,  center ,  state ,  remember ,  express ,  involve ,  recall ,  interest ,  identify ,  apply ,  quote ,  subject ,  submit ,  regard ,  sophisticate ,  convolute   | 0.0 | .1 | 19
destroy 	   unmake ,  undo ,  ruin ,  demolish ,  overcome ,  defeat ,  kill ,  bust^ ,  eradicate ,  rape ,  smash ,  burn ,  harry ,  spoil ,  dismantle ,  fire ,  level ,  end ,  waste ,  consume ,  plunder ,  break ,  fracture ,  eliminate ,  uproot ,  devastate ,  violate ,  get ,  wreck ,  swallow ,  explode ,  ravage   | 0.0 | .1 | 7
bias 	   prejudice ,  angle ,  weight   | 0.0 | .1 | 2
lash 	   flog ,  whip ,  beat ,  swing ,  sway ,  strike ,  tie ,  bind ,  slash ,  strap ,  switch   | 0.0 | .1 | 9
power 	   provide ,  supply ,  ply ,  cater ,  drive   | 0.0 | .1 | 4
relent 	   yield ,  soften   | 0.0 | .1 | 2
spring 	   jump ,  leap ,  bound ,  move ,  form ,  become ,  bounce ,  rebound ,  recoil ,  grow ,  develop ,  produce ,  get ,  acquire ,  disclose^ ,  reveal ,  discover ,  expose ,  break ,  burst ,  glance ,  skip ,  kick ,  leapfrog   | 0.0 | .1 | 23
confide 	   disclose^ ,  reveal ,  discover ,  expose ,  break ,  entrust ,  trust ,  commit ,  pass ,  hand ,  reach ,  give ,  charge ,  relieve ,  obligate   | 0.0 | .1 | 12
package 	   box ,  case   | 0.0 | .1 | 2
rumpus 	   agitate   | 0.0 | .1 | 1
mean 	   intend ,  convey ,  imply ,  necessitate ,  think ,  will ,  wish ,  associate ,  relate ,  link ,  connect ,  destine ,  designate ,  specify ,  design ,  represent ,  plan ,  cite ,  refer ,  drive ,  propose ,  purpose ,  spell ,  import ,  aim ,  mention ,  get ,  name ,  purport   | 0.0 | .1 | 17
burn 	   fire ,  destroy ,  ruin ,  glow ,  shine ,  beam ,  turn ,  bite ,  sting ,  smart ,  hurt^ ,  feel ,  experience ,  execute ,  waste ,  blow ,  squander ,  treat ,  colour ,  color ,  cut ,  produce ,  make ,  create ,  consume ,  eat ,  deplete ,  exhaust ,  damage^ ,  torch ,  ignite ,  sear ,  blaze ,  flame ,  scorch ,  singe ,  light ,  flare ,  coal ,  backfire ,  gutter   | 0.0 | .1 | 31
flaw 	   damage^   | 0.0 | .1 | 1
image 	   visualize ,  visualise ,  project ,  fancy ,  see ,  figure ,  picture ,  imagine ,  envisage   | 0.0 | .1 | 9
sneer 	   express ,  show ,  smile   | 0.0 | .1 | 3
party 	   celebrate ,  fete   | 0.0 | .1 | 2
lacquer 	   decorate ,  adorn ,  grace* ,  japan   | 0.0 | .1 | 3
seal 	   close^ ,  shut ,  decide ,  determine ,  coat ,  surface ,  hunt ,  run ,  pack   | 0.0 | .1 | 9
bubble 	   emit ,  breathe ,  ripple ,  sound ,  go   | 0.0 | .1 | 7
survive 	   last ,  live ,  go ,  endure ,  overcome ,  defeat ,  exist ,  survive ,  drift ,  breathe   | 0.0 | .1 | 9
yearn 	   long ,  desire ,  want ,  languish ,  treasure ,  die   | 0.0 | .1 | 6
complete 	   finish ,  end ,  terminate ,  fill ,  dispatch ,  accomplish* ,  execute ,  action ,  fulfill ,  fulfil ,  nail ,  play ,  top ,  close ,  implement   | 0.0 | .1 | 12
secrete 	   release ,  exude ,  ooze ,  hide ,  conceal ,  water   | 0.0 | .1 | 5
outcrop 	   appear   | 0.0 | .1 | 1
plunk 	   sound ,  go ,  plump ,  dive ,  plunge ,  descend ,  fall ,  pluck ,  pick ,  pull ,  draw ,  force ,  parachute ,  jump ,  duck   | 0.0 | .1 | 12
cord 	   stack ,  pile ,  heap ,  tie ,  bind   | 0.0 | .1 | 5
buy 	   purchase ,  get ,  acquire ,  bribe ,  corrupt ,  pay ,  believe ,  be ,  take ,  subscribe   | 0.0 | .1 | 10
amplify 	   enlarge ,  overstate ,  exaggerate ,  mislead ,  inflate ,  expand* ,  increase ,  intensify ,  compound ,  heighten ,  deepen ,  gas ,  pad ,  tout ,  blow ,  boast ,  aggrandise ,  brag   | 0.0 | .1 | 11
abuse 	   step ,  treat ,  handle ,  misuse ,  use ,  expend ,  shout ,  attack ,  round ,  assail ,  assault ,  revile ,  rail ,  curse ,  fracture   | 0.0 | .1 | 13
rush 	   hasten* ,  speed ,  race ,  travel ,  go ,  move ,  assail ,  assault ,  attack ,  hurry ,  urge ,  press ,  exhort ,  act ,  run ,  displace ,  induce ,  stimulate ,  effect ,  tear ,  dart ,  dash ,  flash ,  charge ,  buck ,  scoot ,  shoot   | 0.0 | .1 | 25
rescue 	   deliver ,  save ,  take ,  relieve   | 0.0 | .1 | 3
rag 	   torment ,  frustrate ,  harass ,  hassle ,  harry ,  chevy ,  beset^ ,  plague ,  provoke ,  annoy ,  bother ,  irritate ,  rile ,  gravel ,  vex ,  devil ,  play ,  bait ,  taunt ,  rally ,  ride ,  mock ,  rebuke ,  jaw ,  lambaste ,  knock ,  criticize ,  criticise^ ,  fragment ,  kid ,  fret ,  flout ,  chastise ,  josh ,  bug ,  grate ,  jolly ,  correct ,  get ,  scoff ,  badger ,  barrack ,  gibe ,  castigate ,  beleaguer ,  madden   | 0.0 | .1 | 29
dirty 	   soil ,  change ,  alter ,  modify ,  foul^ ,  spot ,  crock ,  splash ,  mire ,  pollute   | 0.0 | .1 | 4
whiz 	   sound ,  go   | 0.0 | .1 | 2
agree 	   hold ,  accept ,  consent ,  match ,  fit ,  correspond ,  check ,  gibe ,  tally ,  equal ,  be ,  accord ,  suit ,  agree ,  look ,  grant ,  consist ,  concede^ ,  parallel ,  support ,  square ,  coincide ,  twin ,  go ,  resolve ,  correlate ,  resemble ,  yield ,  bargain ,  reconcile ,  conclude ,  pattern ,  answer ,  settle ,  corroborate ,  meet ,  compromise ,  assent ,  arrange ,  accede ,  blend ,  befit ,  rhyme ,  align ,  adhere ,  underpin ,  subscribe   | 0.0 | .1 | 20
rust 	   decay ,  crumble ,  eat ,  damage^ ,  fret   | 0.0 | .1 | 4
detail 	   elaborate ,  enlarge ,  expand* ,  assign ,  specify   | 0.0 | .1 | 5
blink 	   suppress ,  subdue ,  conquer ,  curb ,  flash ,  twinkle ,  winkle ,  flicker ,  bat   | 0.0 | .1 | 7
enrich 	   better ,  improve* ,  add ,  choke^ ,  feed   | 0.0 | .1 | 3
migrate 	   move ,  emigrate   | 0.0 | .1 | 1
watch 	   observe ,  follow ,  check ,  view ,  see ,  catch ,  determine ,  learn ,  guard ,  witness ,  test ,  mind ,  beware ,  visualise ,  preview ,  visualize   | 0.0 | .1 | 10
carve 	   cut ,  shape ,  form ,  work ,  forge ,  shave ,  fret ,  scratch ,  grave ,  sculpt ,  sculpture   | 0.0 | .1 | 7
amuse 	   divert ,  entertain ,  cheer   | 0.0 | .1 | 3
cream 	   beat ,  scramble ,  bat ,  clobber ,  thrash ,  crush ,  shell ,  vanquish ,  apply ,  remove ,  take ,  withdraw ,  modify   | 0.0 | .1 | 14
extract 	   pull ,  remove ,  take ,  withdraw ,  obtain ,  evoke ,  elicit ,  interpret ,  construe ,  see ,  distil ,  make ,  create ,  separate ,  express ,  get ,  acquire ,  excerpt ,  choose ,  select ,  calculate ,  compute ,  reckon ,  figure ,  thread ,  ream   | 0.0 | .1 | 25
graduate 	   receive ,  have ,  bestow ,  adjust ,  set ,  correct   | 0.0 | .1 | 6
clamour 	   clamor ,  express ,  utter ,  demand   | 0.0 | .1 | 5
request 	   bespeak ,  quest ,  communicate ,  pass ,  ask ,  wonder ,  inquire ,  hold ,  say ,  demand ,  appeal ,  desire ,  beg ,  petition ,  propose ,  challenge ,  book ,  order ,  invite ,  tell ,  reserve ,  apply ,  offer ,  excuse ,  bid ,  seek ,  claim ,  tap ,  call   | 0.0 | .1 | 7
annex 	   assume ,  seize ,  supplement   | 0.0 | .1 | 3
refund 	   return ,  repay ,  pay ,  restore ,  reimburse   | 0.0 | .1 | 3
rally 	   collect ,  mobilize ,  mobilise ,  call ,  muster ,  summon ,  gather ,  garner ,  rebound ,  recover ,  rag ,  bait ,  taunt ,  ride ,  mock ,  kid ,  flout ,  josh ,  jolly ,  scoff ,  barrack ,  gibe   | 0.0 | .1 | 16
gift 	   endow ,  invest ,  enable ,  give ,  present ,  grant ,  leave ,  cover ,  deliver ,  cede ,  tender ,  submit ,  treat ,  tip ,  surrender ,  distribute ,  will ,  raffle ,  donate ,  fee   | 0.0 | .1 | 5
middle 	   put ,  set ,  place ,  pose ,  position ,  lay   | 0.0 | .1 | 6
abdicate 	   resign^   | 0.0 | .1 | 1
menace 	   endanger ,  jeopardise ,  threaten^ ,  imperil ,  peril ,  exist ,  be ,  express ,  show ,  act ,  behave ,  do   | 0.0 | .1 | 12
waive 	   relinquish ,  forgo ,  forfeit ,  abandon ,  lapse   | 0.0 | .1 | 5
dye 	   colour ,  color ,  stain ,  impress ,  bronze   | 0.0 | .1 | 2
have 	   hold ,  feature ,  experience ,  receive ,  get ,  undergo ,  own ,  possess ,  let ,  make ,  consume ,  take ,  interact ,  throw ,  give ,  direct ,  change ,  suffer ,  hurt^ ,  induce ,  stimulate ,  cause ,  accept ,  acquire ,  sustain* ,  score* ,  hit ,  tally ,  deliver ,  bear ,  birth ,  produce ,  love ,  know ,  screw ,  bed ,  bang ,  bring ,  keep ,  encourage* ,  collapse^ ,  say ,  touch ,  borrow ,  oblige ,  suborn ,  leave ,  compel ,  maintain ,  burst ,  twin ,  combine ,  graduate ,  abound ,  prompt ,  stock ,  read ,  labour ,  carry ,  wear ,  adopt ,  exert ,  drug ,  labor ,  drink ,  crack ,  smoke ,  encounter ,  inspire ,  welcome ,  star ,  drop ,  pack ,  honour ,  sport ,  use ,  try ,  stockpile ,  decide ,  fence ,  obligate ,  persuade ,  expect ,  eat ,  booze ,  meet ,  boast ,  litter ,  inherit ,  admit ,  fill ,  sample ,  feed ,  instigate ,  lamb ,  lead ,  swallow ,  partake ,  taste ,  wield ,  unite   | 0.0 | .1 | 58
mass 	   crowd ,  press   | 0.0 | .1 | 1
abound 	   be ,  burst ,  have ,  feature   | 0.0 | .1 | 4
refuse 	   decline ,  react ,  respond ,  reject ,  defy ,  resist ,  elude ,  escape ,  deny ,  keep ,  refuse ,  spurn ,  scorn ,  bounce ,  regret ,  dishonour ,  withhold   | 0.0 | .1 | 17
restate 	   repeat ,  reiterate ,  iterate ,  tell ,  reword ,  cite ,  translate ,  summarize ,  quote ,  harp ,  resume ,  interpret   | 0.0 | .1 | 4
reason 	   conclude ,  think ,  argue^ ,  present ,  represent ,  feel ,  support ,  speculate ,  find ,  defend ,  gather ,  deduce ,  figure ,  calculate ,  compute ,  derive ,  extrapolate ,  reckon ,  categorize ,  deduct ,  induce   | 0.0 | .1 | 6
evict 	   expel ,  eject ,  exclude   | 0.0 | .1 | 6
hunt 	   run ,  capture ,  catch ,  trace ,  chase ,  trail ,  tail ,  tag ,  dog ,  track ,  rouse ,  oscillate ,  search ,  seek ,  look ,  course ,  turtle ,  seal ,  drive ,  falcon ,  ambush ,  jack ,  hawk ,  poach ,  ferret ,  whale ,  fowl   | 0.0 | .1 | 16
champion 	   defend ,  back ,  endorse ,  support   | 0.0 | .1 | 4
riot 	   revel   | 0.0 | .1 | 1
